Date,Day,Year,Tourn,Rnd,Team_1,Team_2,Team_1_Score,Team_2_Score,Team_1_Tries,Team_2_Tries,Team_1_Points,Team_2_Points,Venue,Neut.
16 Feb 1974,Sat,1974,5N,,ENG,IRE,21,26,1,4,1,5,"Twickenham, London",N
02 Mar 1974,Sat,1974,5N,,IRE,SCO,9,6,1,0,4,1,"Lansdowne Rd, Dublin",N
02 Mar 1974,Sat,1974,5N,,FRA,ENG,12,12,1,1,2,2,"Parc des Princes, Paris",N
16 Mar 1974,Sat,1974,5N,,SCO,FRA,19,6,2,0,4,0,"Murrayfield, Edinburgh",N
16 Mar 1974,Sat,1974,5N,,ENG,WAL,16,12,2,1,4,1,"Twickenham, London",N
25 May 1974,Sat,1974,BC,n ,AUS,NZL,6,11,1,2,1,4,"Cricket Ground, Sydney",N
01 Jun 1974,Sat,1974,BC,n ,AUS,NZL,16,16,2,2,2,2,"Ballymore, Brisbane",N
08 Jun 1974,Sat,1974,LT,1,SAF,LIO,3,12,0,0,0,4,"Newlands, Cape Town",N
08 Jun 1974,Sat,1974,BC,n ,AUS,NZL,6,16,0,3,0,4,"Cricket Ground, Sydney",N
20 Jun 1974,Thu,1974,ST,,ARG,FRA,15,20,1,3,1,4,"FC Oeste, Buenos Aires",N
22 Jun 1974,Sat,1974,LT,2,SAF,LIO,9,28,0,5,0,5,"Loftus Versfeld, Pretoria",N
29 Jun 1974,Sat,1974,ST,,ARG,FRA,27,31,1,4,1,5,"FC Oeste, Buenos Aires",N
13 Jul 1974,Sat,1974,LT,3,SAF,LIO,9,26,0,3,0,4,"Boet Erasmus, Pt Elizabeth",N
27 Jul 1974,Sat,1974,LT,4,SAF,LIO,13,13,1,2,2,2,"Ellis Park, Johannesburg",N
13 Oct 1974,Sun,1974,,,ROM,FRA,15,10,1,1,4,1,Bucharest,N
23 Nov 1974,Sat,1974,TO,,IRE,NZL,6,15,0,1,0,4,"Lansdowne Rd, Dublin",N
23 Nov 1974,Sat,1974,TO,,FRA,SAF,4,13,1,1,0,4,Stade Toulouse,N
30 Nov 1974,Sat,1974,TO,,FRA,SAF,8,10,2,1,1,4,"Parc des Princes, Paris",N
18 Jan 1975,Sat,1975,5N,,IRE,ENG,12,9,2,1,4,1,"Lansdowne Rd, Dublin",N
18 Jan 1975,Sat,1975,5N,,FRA,WAL,10,25,1,5,0,5,"Parc des Princes, Paris",N
01 Feb 1975,Sat,1975,5N,,SCO,IRE,20,13,2,2,4,0,"Murrayfield, Edinburgh",N
01 Feb 1975,Sat,1975,5N,,ENG,FRA,20,27,2,4,0,5,"Twickenham, London",N
15 Feb 1975,Sat,1975,5N,,WAL,ENG,20,4,3,1,4,0,Cardiff Arms Park,N
15 Feb 1975,Sat,1975,5N,,FRA,SCO,10,9,1,0,4,1,"Parc des Princes, Paris",N
01 Mar 1975,Sat,1975,5N,,IRE,FRA,25,6,3,0,4,0,"Lansdowne Rd, Dublin",N
01 Mar 1975,Sat,1975,5N,,SCO,WAL,12,10,0,1,4,1,"Murrayfield, Edinburgh",N
15 Mar 1975,Sat,1975,5N CA,,ENG,SCO,7,6,1,0,4,1,"Twickenham, London",N
15 Mar 1975,Sat,1975,5N,,WAL,IRE,32,4,5,1,5,0,Cardiff Arms Park,N
24 May 1975,Sat,1975,ST,,AUS,ENG,16,9,1,1,4,0,"Cricket Ground, Sydney",N
31 May 1975,Sat,1975,ST,,AUS,ENG,30,21,5,2,5,0,"Ballymore, Brisbane",N
14 Jun 1975,Sat,1975,ST,,NZL,SCO,24,0,4,0,5,0,"Eden Park, Auckland",N
21 Jun 1975,Sat,1975,ST,,SAF,FRA,38,25,5,4,5,1,"Vodacom Park, Bloemfontein",N
28 Jun 1975,Sat,1975,ST,,SAF,FRA,33,18,2,1,4,0,"Loftus Versfeld, Pretoria",N
02 Aug 1975,Sat,1975,TO,,AUS,JAP,37,7,6,1,5,0,"Cricket Ground, Sydney",N
17 Aug 1975,Sun,1975,TO,,AUS,JAP,50,25,8,5,5,1,"Ballymore, Brisbane",N
19 Oct 1975,Sun,1975,TO,,FRA,ARG,29,6,6,0,5,0,Lyon,N
25 Oct 1975,Sat,1975,TO,,FRA,ARG,36,21,5,1,5,0,"Parc des Princes, Paris",N
23 Nov 1975,Sun,1975,,,FRA,ROM,36,12,6,0,5,0,"Stade Municipal, Bordeaux",N
06 Dec 1975,Sat,1975,TO,,SCO,AUS,10,3,2,0,4,0,"Murrayfield, Edinburgh",N
20 Dec 1975,Sat,1975,TO,,WAL,AUS,28,3,4,0,5,0,Cardiff Arms Park,N
03 Jan 1976,Sat,1976,TO,,ENG,AUS,23,6,3,0,4,0,"Twickenham, London",N
10 Jan 1976,Sat,1976,5N,,SCO,FRA,6,13,0,1,0,4,"Murrayfield, Edinburgh",N
17 Jan 1976,Sat,1976,TO,,IRE,AUS,10,20,1,3,0,4,"Lansdowne Rd, Dublin",N
17 Jan 1976,Sat,1976,5N,,ENG,WAL,9,21,0,3,0,4,"Twickenham, London",N
